"","id_cliente_enc","total_productos","productos_distintos","dias_activos","compras_por_semana","compras_entre_semana","compras_fin_de_semana","kmeans_cluster","hc_cluster"
"11455","500eb248d3de7dc3a50ef9364aaecdca",122,82,66,12.9393939393939,94,28,3,1
"11456","500ff3acdf2a3607a78c39290c4fa53a",23,23,0,23,23,0,1,2
"11457","501401a4d67fc709c05161d4c192aef6",84,57,64,9.1875,84,0,2,3
"11458","5014555842f1b1f8536308dd3d416177",12,12,0,12,12,0,1,2
"11459","5018a47c66570ac0d56e27ea3a1dcd51",143,79,52,19.25,120,23,3,1
"11460","5018e5f069d5bf2fcebbdd6c2dcb916c",57,43,32,12.46875,30,27,2,1
"11461","5019e4b6310a076019a189bcd9655d36",11,11,0,11,11,0,1,2
"11462","501ac3009cbc17e3f322ca1cc5c31100",29,27,23,8.82608695652174,29,0,2,1
"11463","501b2f658243c2adadd68085cfd8972a",186,108,77,16.9090909090909,186,0,3,3
"11464","501d8e5f2bc365687e8b9a7d6ddc9014",7,7,0,7,7,0,1,2
"11465","5020deefbb73217d3e73868421f849c5",152,86,56,19,152,0,3,3
"11466","50225a5539c09bcbab2f9ff9f0518ea5",116,67,83,9.78313253012048,90,26,3,1
"11467","5023aa8b2d618ebce3c36a18b3079f57",35,29,37,6.62162162162162,35,0,2,1
"11468","50249c59dacdfa0b0c95194605e75ba8",9,9,0,9,9,0,1,2
"11469","5025814aace55c7b6b592e92e5564ce1",56,47,10,39.2,56,0,1,2
"11470","5027ae823588fa8588046245e4edbbe6",34,34,0,34,0,34,1,2
"11471","502a1a5bcff3b3e7a43da4552ffcc5f5",113,68,62,12.758064516129,113,0,3,3
"11472","502bbe25727aa55f18cb6a8b3cbb4809",64,48,17,26.3529411764706,64,0,1,1
"11473","502fdbec56fd5a9480299a877dd8a66d",35,33,25,9.8,22,13,2,1
"11474","5030e3e09c9435be5a382826afa6ec04",34,34,0,34,34,0,1,2
"11475","503125171c8899e78f66f98fcfc8bed3",6,6,0,6,6,0,1,2
"11476","50318b96630caac52b5610ec88257a6e",12,12,0,12,12,0,1,2
"11477","5031f92b678a16c704084f1d3dc72382",29,29,0,29,29,0,1,2
"11478","5033a2bd8dc1f5a92fc179d6bb390803",5,5,0,5,5,0,1,2
"11479","503a6539df48964124fe026b9deb5d13",88,60,21,29.3333333333333,88,0,1,2
"11480","503b59ca661d3664fbf2071dac43276b",54,52,9,42,54,0,1,2
"11481","503fe2e8e76fc16b4f303e8a66d3fca4",70,42,60,8.16666666666667,30,40,2,1
"11482","503fedf6534a946441f525c8c817943e",35,32,14,17.5,35,0,1,1
"11483","503ffd2f182cb25875637a6b8990992a",31,19,47,4.61702127659574,23,8,2,1
"11484","50414d3bca00d3d6274e1d8816b8552e",31,31,0,31,31,0,1,2
"11485","5045894d9b42fb6aa55895d7515063d7",236,100,74,22.3243243243243,217,19,3,3
"11486","504d17def6edc33b45eb5fff0ad5641f",146,91,89,11.4831460674157,146,0,3,3
"11487","504e4cf6079bba81e37ec6684fe2a6bf",167,106,77,15.1818181818182,133,34,3,3
"11488","50545a8f92937ef1a99fd60369af2171",171,134,47,25.468085106383,118,53,3,3
"11489","5054766cc462550c8344df73fa4c346e",50,50,0,50,50,0,1,2
"11490","5055ed7fa5b134448320812bc99bee8e",54,44,56,6.75,54,0,2,1
"11491","5056081ed2a8c740284e4ca8a94b554f",151,89,60,17.6166666666667,151,0,3,3
"11492","5056c83f86a9c2fb38353b077f309174",6,4,31,1.35483870967742,6,0,2,1
"11493","5057e9b2164890e00d899a13adf7991f",228,140,72,22.1666666666667,179,49,3,3
"11494","505a4c7572a517d8a63a09ac8460b386",188,130,34,38.7058823529412,188,0,3,3
"11495","505b103f7d77259d10c14f42dd76317a",145,79,74,13.7162162162162,145,0,3,3
"11496","505b66384840108c0613abc994eb9d88",39,39,0,39,39,0,1,2
"11497","505badd6b749724006e883d0b6e1d31a",19,19,0,19,19,0,1,2
"11498","505defd754efb4ee32f370e3309f4cbd",119,92,69,12.0724637681159,101,18,3,3
"11499","505f97a0a42a10056cfc491308875751",225,80,84,18.75,208,17,3,3
