"id_cliente","producto_recomendado","ranking"
"128","05040184",2
"128","01016505",3
"128","01028005",4
"128","01013110",5
"129","01012910",1
"129","01085120",2
"129","02691015",3
"129","05041180",4
"129","12502102",5
"130","02691015",1
"130","14302501",2
"130","02690515",3
"130","10260620",4
"130","07122505",5
"131","02691015",1
"131","11100128",2
"131","10240133",3
"131","05200401",4
"131","12650103",5
"132","01016710",1
"132","02691030",2
"132","05040682",3
"132","06100105",4
"132","14302501",5
"133","10027221",1
"133","01085020",2
"133","10280103",3
"133","11100131",4
"133","05040184",5
"134","10280103",1
"134","01012530",2
"134","01013315",3
"134","01027205",4
"134","01026405",5
"135","05250505",1
"135","05160101",2
"135","07131010",3
"135","01027825",4
"135","06100107",5
"136","01012705",1
"136","01016710",2
"136","04033005",3
"136","05040682",4
"136","10241205",5
"137","10240133",1
"137","02720520",2
"137","10241205",3
"137","04080230",4
"137","03050302",5
"138","09010101",1
"138","05100802",2
"138","04060302",3
"138","12650103",4
"138","04032065",5
"139","05040281",1
"139","06100101",2
"139","10080301",3
"139","08031918",4
"139","10200502",5
"140","02651405",1
"140","08230125",2
"140","04060302",3
"140","05040188",4
"140","05041183",5
"141","01016710",1
"141","02650602",2
"141","01012905",3
"141","01013305",4
"141","05030401",5
"142","01085120",1
"142","02720520",2
"142","05041180",3
"142","08090113",4
"142","14302501",5
"143","05040281",1
"143","06100107",2
"143","05040184",3
"143","01026810",4
"143","05030415",5
"144","01012910",1
"144","05030615",2
"144","10200709",3
"144","11100131",4
"144","01013305",5
"145","05041182",1
"145","02651401",2
"145","07143110",3
"145","04130602",4
"145","01016710",5
"146","06100107",1
"146","10200315",2
"146","04200505",3
"146","05040189",4
"146","05200401",5
"147","05040280",1
"147","01012910",2
"147","10200709",3
"147","04080214",4
"147","05040281",5
"148","06100105",1
"148","11060115",2
"148","04020301",3
"148","05030103",4
"148","04020230",5
"149","06100105",1
"149","02620115",2
"149","05041188",3
"149","05040183",4
"149","01012715",5
"150","01012905",1
"150","01013305",2
"150","09010101",3
"150","05030103",4
"150","05100802",5
"151","01017105",1
"151","04060309",2
"151","01026810",3
"151","10080409",4
"151","04060326",5
"152","01013305",1
"152","01016505",2
"152","01028005",3
"152","01012715",4
"152","05040189",5
"153","05041180",1
"153","05040182",2
"153","05040280",3
"153","05040188",4
"153","01012905",5
"154","04201005",1
"154","05041180",2
"154","01012905",3
"154","04200505",4
"154","11060301",5
"155","10261510",1
"155","02620115",2
"155","01012910",3
"155","04020301",4
"155","05040582",5
"156","05030615",1
"156","11100131",2
"156","13580505",3
"156","05030401",4
"156","05140204",5
"157","05040280",1
"157","05030103",2
"157","12670115",3
"157","11040303",4
"157","04032065",5
"158","05040682",1
"158","14302501",2
"158","05040183",3
"158","01026005",4
"158","10028710",5
"159","05100105",1
"159","05040185",2
"159","05040188",3
"159","08090123",4
"159","01026810",5
"160","10240130",1
"160","05040582",2
"160","05040581",3
"160","01201505",4
"160","10260620",5
"161","09010101",1
"161","05100802",2
"161","04020101",3
"161","04020230",4
"161","11040303",5
"162","01016710",1
"162","01085505",2
"162","08230709",3
"162","09130302",4
"162","04060326",5
"163","01012905",1
"163","05030415",2
"163","05041182",3
"163","09010101",4
"163","05030103",5
"164","05030415",1
