"id_cliente_enc","kmeans_cluster"
"00f2aa8ff5d133098cb5a9ac242091c2",2
"00f4f0c3fabb488e8ff013e087242e34",1
"00f6cb882247551107aa6b97f33a6447",2
"00f8d8c877b797e53ea8de4888c8a0f0",1
"00fc26fa93ebac51369d81e6008c8d9b",1
"00fe24f586fa6a3fa1af4a9b6338520b",2
"00fec8b424bd9003ee5c6eea0a0c1a54",1
"00fee70117b2bf30aaeeed67e2bae1a5",3
"010116034fa8d80d682e966ac731e9b5",2
"0101b91e4ffe0d48edf5e7135c16af44",2
"01054da50fd5e4de74287bd765859eac",2
"0106a1ee8583132cfdecc48f8a76a612",1
"0107da214fb0a1d662ff70d4977d4200",2
"010a078f0f7cc2665c8979267d8f3298",1
"010b7b7f5317e7d651fb6b680818e7f7",1
"010c2be1e82fe2da4fa5f6698e679a34",1
"01119551e774d4d925728160270e3ec6",2
"0111c92fd3494221da6e2c9f57ea560d",1
"0114f7935458391c5460e9509f86a494",2
"011b220b31c956eab56942fe13250a81",1
"011b2769b1fb71e46ec895d59f4ea7df",1
"011c5c921213da2f084011083192c3a7",1
"011c8592b8ba26f99d885620b6e42cf0",2
"011d9b8ea48c6e103aabed4a86b4598d",2
"011e3017b3bbd2e84f12b75b53312f8b",1
"01218877a11597f3291d3be8fbf34693",2
"012326d08825a9239ee48016a7fd5d2a",3
"0125bb8b0c84dad6e3d71095b00f3824",1
"01295b7edbad32cdb52a21ab588197c3",1
"01296f1eb90bd2fce6d5e8103ce813a5",1
"012a9b7a6616c6120a561c2470d82769",1
"012b4cb444254a0c8eb6ab630b7c7f77",3
"012c53f5397021b11b87113d2cded03b",1
"012e9024523cb63c0baf3c26d1bacfae",2
"01369e9d36628c742dc319bbf0a88259",1
"01400d0edda2774f46732259da9340d7",1
"01426e3fbf6f4d20c8c4b255fc695b14",2
"0143ffcceeaaff51b02d66d64e5057bd",3
"0144fe9e05b99706a88984fbf0e1b5fa",1
"01461fb2e92672094bde96174899dd1e",1
"014635187859f855633649a0e853940b",2
"0148786245b4a5eb2e6312b63975a0fe",1
"014a667a904721b1eec8941617a37983",3
"014d40a2f3f2a69dcb4b6e1710f2a1b6",2
"015668bde0fe67b5f2b69363df0b8ee4",1
"015674975686150065be65d527d7dc95",1
"01597bd49ddea6a772935c29663aa864",2
"01597c5518b2bbb08c4a8ecf81d5f0dd",2
"01599b295eb7a50450ea74b9a82ad693",2
"015b8c00ac1668c3c81f733fc9f0698d",2
"015be0cae058e56a1873b8cd19ce6173",1
"015c40d7c7cf4a005806e7af3988a81c",1
"015cb0e40bdee3fad9d5e8181306747c",1
"015d378bd4d2c42b30a5847da3c8d4d3",1
"015d6818ed811f6acb386b47d9d64671",1
"015debfa4398a9bbb5f8717560d78740",3
"0160c215b086cdcd435db935c37b8a73",2
"0160f36758f314794e86184310316231",3
"0161a124a13a10a36bdfc42004bbe62a",1
"0161ba439d5ae412cdbbfd48ed9bdc7c",2
"016218ff3094a80efea55ec030fcf923",3
"01635985b044035738661d2a98e40af8",1
"016381714f92f72c74c616b02c3b6c4b",1
"016461a2eb3ed80039cc549f0a68e9f7",2
"016523e7292d8ea780644499ac6b6a2d",2
"0166bc5e93e3e140d071fdcb4b7a1e03",1
"0167b70fe0ab2d36c5950962e1bd5966",3
"016a3c555240e96875145ac82e9e2d2c",3
"016d83958f16b96521f8cd4320a3eedc",3
"016dddc23cc5ffd6ba3862e3079ff7b4",2
"016f1458e3282f8fc752d5820acf33f4",1
"016fbc6e94414ce879b75834d4fc0403",1
"017023f8d806abfaffc481a4b2a7c604",2
"0172f32168ee467a6eb8dc7f3430eb1a",3
"0173279f33124095c2b1c1e0e11ec95c",1
"01734d619251b5b7c5e0c73db0d214ef",1
"01739ec6a9f5d91ecc94ea509c50b44a",2
"01747eb404ca0d07ca97f05338feb610",1
"0174b9559db88e4e4defd83548fa63d8",1
"0175f6e65ef5532fb3d09295ca98af67",2
"0177026248d407202ee791b8404c2658",3
"017af3a3f45d24c017220f2f92145da3",2
"017cbedf5937860b274f46945bc7cbd8",1
"017da4b4f9f783557aa4e33b7cbe8783",2
"017ea65830268bd44bf6e5d209e72455",3
"017ec97354fc3b5dd5c7381d432d086b",1
"017efdab151a7d2012c1326f449f10e4",2
"017f6c74b3c7ee24b29be300dc2fc550",2
"0182758e9207c6b64751800028043110",1
"018491d3892ac934e57db1cfc884227e",3
"01857b9dc90cb1ae64d92e2369ca2d2e",3
"0185fdcfd756a8715b3c213b8134246e",1
"0186bdff091ff215716f7714cc8527ae",2
"0189bbfacd4a0677837175907eeec246",3
"018a30985b136d2a4e1f30c095f2ec42",1
